player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,RS,TOR,2157,1054,-2.901184037983302,.316320433868105,-2.584863604115197,1.292621567138786,-4.236315525202531,-2.943693958063744,-2.222872127283892,-.6282950601855326,-2.851167187469425,-.0539036638617443,-.0539036638617443,0,-2.424421623621244,-.4327643546010217,-2.857185978222265,-.9252942089643644
Steven Adams,adamsst01,2023,RS,MEM,2391,1133,-.5611013021873099,4.149871530313728,3.588770228126418,4.312733540764684,-.1495701586459471,4.163163382118737,.4264808598480358,3.456697108065606,3.883177967913642,3.843467419171049,3.843467419171049,0,.0637075113414362,3.486459331140766,3.550166842482203,.2397769564472202
Bam Adebayo,adebaba01,2023,RS,MIA,5130,2535,-1.927147233353146,2.764786986493037,.8376397531398909,2.185937170766336,2.829083872937467,5.015021043703802,-1.13806982199955,2.935651064714922,1.797581242715372,5.85868533500455,5.85868533500455,0,-.9403258471525022,2.866117731254195,1.925791884101692,-.3937526346164371
Ochai Agbaji,agbajoc01,2023,RS,UTA,2321,1079,-1.138237107738739,-2.37349376387745,-3.51173087161619,.824022846667757,-.5928901295993206,.2311327170684364,-.8204719566605992,-2.120132359444136,-2.940604316104735,-.1051083214811639,-.1051083214811639,0,-1.188597666878495,-2.702843615353633,-3.891441282232128,.1725852834141617
Santi Aldama,aldamsa01,2023,RS,MEM,3537,1651,-1.097120107684244,-.1573500043213236,-1.254470112005568,-.5349810989284423,-.7781029331797997,-1.313084032108242,-1.048259056198724,-.3505904645597587,-1.398849520758483,1.137716762807858,1.137716762807858,0,-1.282743567831298,.281380493072266,-1.001363074759032,-.0364773773707352
Nickeil Alexander-Walker,alexani01,2023,RS,UTA,1122,528,.2861107940302691,4.07879877371123,4.364909567741499,-2.336040614043836,1.86184864591722,-.4741919681266167,-.2633956338311887,3.901016121855869,3.63762048802468,1.736813415180916,1.736813415180916,0,.666831131428317,2.798350968061864,3.465182099490181,.9425874245049701
Nickeil Alexander-Walker,alexani01,2023,RS,MIN,664,308,-.7556037188316708,2.490834618945641,1.735230900113971,-3.297076076472728,-1.052575994833299,-4.349652071306027,-1.317099388138789,1.890663499854802,.5735641117160131,.5211420313912397,.5211420313912397,0,-1.621233379708518,.8391506905958545,-.7820826891126634,-.2178759023766894
Grayson Allen,allengr01,2023,RS,MIL,4214,1972,-.1726037381693989,.4067008968969538,.2340971587275548,.321817956790451,-.2427158815495203,.0791020752409307,-.0766195280314548,.2364394292158248,.15981990118437,2.938155373849822,2.938155373849822,0,.0912368884906516,.3659465037920959,.4571833922827476,.363258335685445
Jarrett Allen,allenja01,2023,RS,CLE,4375,2174,-1.30080704311256,1.524761489802427,.2239544466898673,2.686959869402154,1.86623598471948,4.553195854121634,-.5625933163769011,1.627063205660513,1.064469889283612,4.213140150270098,4.213140150270098,0,-.236865965273589,2.402341708596186,2.165475743322598,-.4237225401649836
Jose Alvarado,alvarjo01,2023,RS,NOP,2778,1310,.0406673448140906,1.47030883689137,1.51097618170546,-.6363209083535931,3.417524036492026,2.781203128138432,-.0929485343401518,1.934319908654014,1.841371374313862,3.078835847501422,3.078835847501422,0,-.3501621339400849,1.898170076616817,1.548007942676733,.3332132240250453
Kyle Anderson,anderky01,2023,RS,MIN,3943,1863,-.0046914739740862,1.585757982051796,1.581066508077709,1.887343665559128,.761040553158232,2.648384218717361,.4072560727911042,1.499224099165503,1.906480171956607,4.409152328488216,4.409152328488216,0,-.3091919350473363,1.45859792864972,1.149405993602383,-.3838628802161221
Giannis Antetokounmpo,antetgi01,2023,RS,MIL,4294,1991,3.973012774103336,2.403605290161686,6.376618064265021,3.13588223541045,1.724215777251624,4.860098012662075,4.010031377014808,2.35056400781902,6.360595384833829,9.395187067812547,9.395187067812547,0,3.818217586809303,1.684554500280637,5.50277208708994,1.532039998832591
Thanasis Antetokounmpo,antetth01,2023,RS,MIL,301,138,-8.323361430501613,-4.331026372566019,-12.65438780306763,-10.91262808779326,-7.706450281069521,-18.61907836886278,-9.363821033465319,-5.354394754066997,-14.71821578753232,-.8397380690977152,-.8397380690977152,0,-8.225346767316539,-6.020726216396657,-14.2460729837132,-.3489544194470067
Cole Anthony,anthoco01,2023,RS,ORL,3116,1495,1.994047024514387,-.7271135357915977,1.26693348872279,1.797217402475213,-.6249861123819132,1.1722312900933,2.109181157389133,-.75407534420322,1.355105813185913,3.108508217819449,3.108508217819449,0,1.506221646172668,-.5945160254943584,.9117056206783096,-.7298544741951924
O.G. Anunoby,anunoog01,2023,RS,TOR,4688,2286,-.9004561252691548,1.908114962004858,1.007658836735704,-.0872245240960354,2.962348097124946,2.87512357302891,-.7969900760799615,2.239978885989327,1.442988809909366,4.912823688132121,4.912823688132121,0,-.0012540897670634,2.941339910626866,2.940085820859802,.4634204640065268
Ryan Arcidiacono,arcidry01,2023,RS,POR,318,146,-7.442074652126951,2.504000445037012,-4.938074207089939,-9.805576768802009,5.091289088721865,-4.714287680080144,-8.398683627798736,3.256791133119211,-5.141892494679524,-.1771118189007959,-.1771118189007959,0,-7.308083013292447,1.730518878231867,-5.57756413506058,-.5991386127299485
