GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,OREB_home,OREB_away,spread,PTS_total,OREB_total
2023-03-31,22201157,Final,1610612750,1610612747,2022,1610612750,111.0,0.432,0.842,0.333,25.0,39.0,1610612747,123.0,0.5,0.8,0.409,28.0,53.0,0,12.0,15.0,-12.0,234.0,27.0
2023-03-31,22201158,Final,1610612744,1610612759,2022,1610612744,130.0,0.505,0.714,0.429,37.0,45.0,1610612759,115.0,0.462,0.696,0.395,27.0,46.0,1,14.0,14.0,15.0,245.0,28.0
2023-03-31,22201159,Final,1610612757,1610612758,2022,1610612757,114.0,0.471,0.652,0.5,29.0,33.0,1610612758,138.0,0.614,0.733,0.487,38.0,41.0,0,9.0,8.0,-24.0,252.0,17.0
2023-03-31,22201160,Final,1610612756,1610612743,2022,1610612756,100.0,0.42,0.762,0.37,28.0,51.0,1610612743,93.0,0.4,0.55,0.231,19.0,51.0,1,13.0,15.0,7.0,193.0,28.0
2023-03-30,22201146,Final,1610612749,1610612738,2022,1610612749,99.0,0.376,0.692,0.326,22.0,45.0,1610612738,140.0,0.56,0.8,0.512,28.0,47.0,0,15.0,7.0,-41.0,239.0,22.0
2023-03-30,22201147,Final,1610612743,1610612740,2022,1610612743,88.0,0.4,0.625,0.143,21.0,40.0,1610612740,107.0,0.475,0.818,0.481,22.0,46.0,0,11.0,8.0,-19.0,195.0,19.0
2023-03-29,22201136,Final,1610612754,1610612749,2022,1610612754,136.0,0.525,0.727,0.467,36.0,29.0,1610612749,149.0,0.624,0.767,0.4,28.0,52.0,0,10.0,14.0,-13.0,285.0,24.0
2023-03-29,22201137,Final,1610612751,1610612745,2022,1610612751,123.0,0.537,0.667,0.486,33.0,41.0,1610612745,114.0,0.469,0.619,0.3,21.0,52.0,1,8.0,20.0,9.0,237.0,28.0
2023-03-29,22201138,Final,1610612752,1610612748,2022,1610612752,101.0,0.5,0.522,0.419,22.0,47.0,1610612748,92.0,0.443,0.643,0.333,20.0,35.0,1,9.0,6.0,9.0,193.0,15.0
2023-03-29,22201139,Final,1610612755,1610612742,2022,1610612755,116.0,0.463,0.833,0.472,26.0,43.0,1610612742,108.0,0.458,0.778,0.391,24.0,40.0,1,11.0,8.0,8.0,224.0,19.0
2023-03-29,22201140,Final,1610612741,1610612747,2022,1610612741,110.0,0.511,0.846,0.273,31.0,32.0,1610612747,121.0,0.523,0.8,0.35,22.0,45.0,0,6.0,13.0,-11.0,231.0,19.0
2023-03-29,22201141,Final,1610612763,1610612746,2022,1610612763,132.0,0.516,0.821,0.344,26.0,45.0,1610612746,141.0,0.615,0.742,0.595,28.0,32.0,0,14.0,3.0,-9.0,273.0,17.0
2023-03-29,22201142,Final,1610612760,1610612765,2022,1610612760,107.0,0.448,0.76,0.345,19.0,38.0,1610612765,106.0,0.5,0.714,0.485,27.0,42.0,1,10.0,10.0,1.0,213.0,20.0
2023-03-29,22201143,Final,1610612759,1610612762,2022,1610612759,117.0,0.474,0.81,0.286,31.0,39.0,1610612762,128.0,0.544,0.9,0.387,28.0,45.0,0,9.0,8.0,-11.0,245.0,17.0
2023-03-29,22201144,Final,1610612756,1610612750,2022,1610612756,107.0,0.417,0.778,0.3,23.0,48.0,1610612750,100.0,0.444,0.667,0.343,24.0,54.0,1,15.0,16.0,7.0,207.0,31.0
2023-03-29,22201145,Final,1610612757,1610612758,2022,1610612757,80.0,0.323,0.917,0.231,18.0,45.0,1610612758,120.0,0.457,0.75,0.375,30.0,59.0,0,8.0,10.0,-40.0,200.0,18.0
2023-03-28,22201130,Final,1610612764,1610612738,2022,1610612764,130.0,0.545,0.692,0.351,33.0,43.0,1610612738,111.0,0.484,0.909,0.25,29.0,38.0,1,6.0,7.0,19.0,241.0,13.0
2023-03-28,22201131,Final,1610612737,1610612739,2022,1610612737,120.0,0.461,0.788,0.444,25.0,51.0,1610612739,118.0,0.505,0.682,0.36,20.0,40.0,1,14.0,10.0,2.0,238.0,24.0
2023-03-28,22201132,Final,1610612761,1610612748,2022,1610612761,106.0,0.484,0.889,0.222,32.0,47.0,1610612748,92.0,0.4,0.947,0.303,18.0,43.0,1,15.0,12.0,14.0,198.0,27.0
2023-03-28,22201133,Final,1610612763,1610612753,2022,1610612763,113.0,0.477,0.739,0.353,26.0,49.0,1610612753,108.0,0.41,0.8,0.286,24.0,47.0,1,7.0,8.0,5.0,221.0,15.0
2023-03-28,22201134,Final,1610612760,1610612766,2022,1610612760,134.0,0.521,0.793,0.367,25.0,39.0,1610612766,137.0,0.553,0.633,0.4,34.0,52.0,0,7.0,15.0,-3.0,271.0,22.0
2023-03-28,22201135,Final,1610612744,1610612740,2022,1610612744,120.0,0.524,0.727,0.45,32.0,41.0,1610612740,109.0,0.467,0.929,0.444,30.0,41.0,1,11.0,11.0,11.0,229.0,22.0
2023-03-27,22201122,Final,1610612765,1610612749,2022,1610612765,117.0,0.446,0.778,0.292,22.0,47.0,1610612749,126.0,0.474,0.846,0.311,28.0,50.0,0,14.0,15.0,-9.0,243.0,29.0
2023-03-27,22201123,Final,1610612754,1610612742,2022,1610612754,104.0,0.419,0.783,0.286,20.0,43.0,1610612742,127.0,0.566,0.882,0.486,29.0,33.0,0,14.0,4.0,-23.0,231.0,18.0
