player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Otto Porter Jr.,porteot01,2023,306,146,-1.412969868124333,.2662479240337618,-1.146721944090571,-3.838871177404141,-4.546464474875687,-8.385335652279828,-2.025787115524645,-.7283437490140587,-2.754130864538704,-.0003078636444177,-.0003078636444177,0,-1.927994237939407,.1787383425257434,-1.749255895413664,.052070192667704
Bobby Portis,portibo01,2023,3691,1732,-.0575811182282166,-.1432407703967165,-.2008218886249331,-1.050516279728448,-2.437170791776519,-3.487687071504967,-.2743000510578497,-.6889786473994142,-.9632786984572639,1.566012626543589,1.566012626543589,0,.0234048681635011,-1.142217540897073,-1.118812672733572,-.8210981122404499
Kristaps Porzingis,porzikr01,2023,4381,2120,2.74812635155852,2.057053271619436,4.805179623177955,3.545222041699918,-.25666320899926,3.288558832700658,3.073498847920137,1.714729528738764,4.788228376658901,8.209617851359525,8.209617851359525,0,4.127989298563647,1.720026814056205,5.848016112619852,.6938575175900572
Micah Potter,pottemi01,2023,63,27,2.093494707736189,-5.845693159504374,-3.752198451768185,-4.815379030903324,7.738424922505798,2.923045891602475,.7882312402319585,-3.303609525562707,-2.515378285330748,.0032721276245183,.0032721276245183,0,.5081728426505372,-4.18410846900504,-3.675935626354503,1.252051074037439
Dwight Powell,poweldw01,2023,2922,1436,-1.786968148783444,1.272862338997993,-.514105809785451,4.589991239852351,.2782676213220199,4.868258861174371,-.5907120787998548,1.156823574693298,.5661114958934437,2.425395534750642,2.425395534750642,0,-1.390885444851913,1.172918055564991,-.2179673892869218,-.172052519624528
Norman Powell,powelno01,2023,3115,1473,.7031951872571955,-1.690902079396199,-.9877068921390036,-6.507233647875734,-.5901532096614908,-7.097386857537225,-.7505684673828255,-1.57170469365568,-2.322273161038505,.3247180761813291,.3247180761813291,0,-1.141505701593859,-1.601514107020849,-2.743019808614709,1.026327928904089
Jason Preston,prestja01,2023,260,122,.0474680783200285,-3.600416444515552,-3.552948366195524,-.3322265342661295,.8301387471478483,.4979122128817188,.0381329303636973,-2.840077315300157,-2.801944384936459,-.003232289004824,-.003232289004824,0,-.9324052255281992,-4.31525489909875,-5.247660124626949,-.0298878806847578
Joshua Primo,primojo01,2023,207,93,-3.744955688224619,1.906161093949384,-1.838794594275234,1.359957633942682,2.888094133298822,4.248051767241504,-2.866214276066068,2.291842389781181,-.5743718862848861,.1046603602611361,.1046603602611361,0,-3.289374663071482,.8647171132966666,-2.424657549774816,1.39707696036977
Taurean Prince,princta02,2023,2425,1109,-2.421552063039563,-1.193038106575484,-3.614590169615047,-.9584578442733418,.0777758447134803,-.8806819995598616,-2.25041880942006,-1.01285296389701,-3.26327177331707,-.2938304918259607,-.2938304918259607,0,-2.486245594332089,-1.573796014891088,-4.060041609223177,1.186157615426809
Payton Pritchard,pritcpa01,2023,1194,573,-1.708222045777514,.0154109481376491,-1.692811097639865,-5.209439971316229,2.305815134304188,-2.903624837012041,-2.598993290746058,.4418999848860968,-2.157093305859961,.1721931596600378,.1721931596600378,0,-1.725874799505575,-.3650952354635311,-2.090970034969106,-.66332544269129
